"Pair","Probability","Score","ResultJson","Scenario"
"country_metal","0,0017789152314244994","0,0017789152314244994","{""country"": 0.95, ""metal"": 0.95, ""high_repetition"": 0.632, ""@scenario_probability"": 0.0017789152314244994, ""@scenario_score"": 0.0017789152314244994}","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0.0017789152314244994]"
"country_pop","0,0001977053485531648","0,0001977053485531648","{""country"": 0.95, ""pop"": 0.95, ""that's"": 0.663, ""@scenario_probability"": 0.0001977053485531648, ""@scenario_score"": 0.0001977053485531648}","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0001977053485531648]"
"country_rap","1,30832838847847E-05","1,30832838847847E-05","{""country"": 0.95, ""rap"": 0.95, ""all"": 0.73, ""@scenario_probability"": 1.308328388478473e-05, ""@scenario_score"": 1.308328388478473e-05}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1.308328388478473e-05]"
"country_reggae","0,02925210846976615","0,02925210846976615","{""country"": 0.95, ""reggae"": 0.95, ""high_repetition"": 0.632, ""@scenario_probability"": 0.02925210846976615, ""@scenario_score"": 0.02925210846976615}","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0.02925210846976615]"
"country_rnb","3,51473201444084E-05","3,51473201444084E-05","{""country"": 0.95, ""rnb"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 3.5147320144408366e-05, ""@scenario_score"": 3.5147320144408366e-05}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3.5147320144408366e-05]"
"country_rock","0,02679090721837962","0,02679090721837962","{""country"": 0.95, ""rock"": 0.95, ""high_repetition"": 0.632, ""@scenario_probability"": 0.02679090721837962, ""@scenario_score"": 0.02679090721837962}","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0.02679090721837962]"
"country_trap","1,8431597452532E-05","1,8431597452532E-05","{""country"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 1.8431597452531987e-05, ""@scenario_score"": 1.8431597452531987e-05}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1.8431597452531987e-05]"
"metal_country","0,0017789152314244992","0,0017789152314244992","{""country"": 0.95, ""metal"": 0.95, ""high_repetition"": 0.632, ""@scenario_probability"": 0.0017789152314244992, ""@scenario_score"": 0.0017789152314244992}","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0.0017789152314244992]"
"metal_pop","3,11778116246155E-05","3,11778116246155E-05","{""metal"": 0.95, ""pop"": 0.95, ""that's"": 0.663, ""@scenario_probability"": 3.1177811624615534e-05, ""@scenario_score"": 3.1177811624615534e-05}","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3.1177811624615534e-05]"
"metal_rap","2,06321257050613E-06","2,06321257050613E-06","{""metal"": 0.95, ""rap"": 0.95, ""all"": 0.73, ""@scenario_probability"": 2.063212570506135e-06, ""@scenario_score"": 2.063212570506135e-06}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2.063212570506135e-06]"
"metal_reggae","0,004515167175041415","0,004515167175041415","{""metal"": 0.95, ""reggae"": 0.95, ""high_repetition"": 0.627, ""@scenario_probability"": 0.004515167175041415, ""@scenario_score"": 0.004515167175041415}","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0.004515167175041415]"
"metal_rnb","5,54267517086288E-06","5,54267517086288E-06","{""metal"": 0.95, ""rnb"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 5.542675170862885e-06, ""@scenario_score"": 5.542675170862885e-06}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5.542675170862885e-06]"
"metal_rock","0,0041887476417103485","0,0041887476417103485","{""metal"": 0.95, ""rock"": 0.95, ""hook_repetition"": 0.63, ""@scenario_probability"": 0.0041887476417103485, ""@scenario_score"": 0.0041887476417103485}","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0.0041887476417103485]"
"metal_trap","2,90663291368294E-06","2,90663291368294E-06","{""metal"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 2.9066329136829365e-06, ""@scenario_score"": 2.9066329136829365e-06}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2.9066329136829365e-06]"
"pop_country","0,0001977053485531648","0,0001977053485531648","{""country"": 0.95, ""pop"": 0.95, ""that's"": 0.663, ""@scenario_probability"": 0.0001977053485531648, ""@scenario_score"": 0.0001977053485531648}","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0.0001977053485531648]"
"pop_metal","3,11778116246155E-05","3,11778116246155E-05","{""metal"": 0.95, ""pop"": 0.95, ""that's"": 0.663, ""@scenario_probability"": 3.117781162461554e-05, ""@scenario_score"": 3.117781162461554e-05}","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3.117781162461554e-05]"
"pop_rap","2,00167134515624E-07","2,00167134515624E-07","{""pop"": 0.95, ""rap"": 0.95, ""all"": 0.73, ""@scenario_probability"": 2.0016713451562353e-07, ""@scenario_score"": 2.0016713451562353e-07}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0016713451562353e-07]"
"pop_reggae","0,0005126813866014715","0,0005126813866014715","{""pop"": 0.95, ""reggae"": 0.95, ""that's"": 0.663, ""@scenario_probability"": 0.0005126813866014715, ""@scenario_score"": 0.0005126813866014715}","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0.0005126813866014715]"
"pop_rnb","5,37734900592599E-07","5,37734900592599E-07","{""pop"": 0.95, ""rnb"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 5.377349005925991e-07, ""@scenario_score"": 5.377349005925991e-07}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.377349005925991e-07]"
"pop_rock","0,00046954562182163393","0,00046954562182163393","{""pop"": 0.95, ""rock"": 0.95, ""that's"": 0.663, ""@scenario_probability"": 0.00046954562182163393, ""@scenario_score"": 0.00046954562182163393}","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0.00046954562182163393]"
"pop_trap","2,81993426047217E-07","2,81993426047217E-07","{""pop"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 2.819934260472173e-07, ""@scenario_score"": 2.819934260472173e-07}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.819934260472173e-07]"
"rap_country","1,30832838847847E-05","1,30832838847847E-05","{""country"": 0.95, ""rap"": 0.95, ""all"": 0.73, ""@scenario_probability"": 1.308328388478473e-05, ""@scenario_score"": 1.308328388478473e-05}","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.308328388478473e-05]"
"rap_metal","2,06321257050614E-06","2,06321257050614E-06","{""metal"": 0.95, ""rap"": 0.95, ""all"": 0.73, ""@scenario_probability"": 2.0632125705061353e-06, ""@scenario_score"": 2.0632125705061353e-06}","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0632125705061353e-06]"
"rap_pop","2,00167134515623E-07","2,00167134515623E-07","{""pop"": 0.95, ""rap"": 0.95, ""all"": 0.73, ""@scenario_probability"": 2.001671345156234e-07, ""@scenario_score"": 2.001671345156234e-07}","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.001671345156234e-07]"
"rap_reggae","3,3927034207415E-05","3,3927034207415E-05","{""rap"": 0.95, ""reggae"": 0.95, ""all"": 0.73, ""@scenario_probability"": 3.392703420741497e-05, ""@scenario_score"": 3.392703420741497e-05}","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.392703420741497e-05]"
"rap_rnb","2,58935205587974E-08","2,58935205587974E-08","{""rap"": 0.95, ""rnb"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 2.589352055879744e-08, ""@scenario_score"": 2.589352055879744e-08}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.589352055879744e-08]"
"rap_rock","3,10724960761405E-05","3,10724960761405E-05","{""rap"": 0.95, ""rock"": 0.95, ""all"": 0.73, ""@scenario_probability"": 3.107249607614053e-05, ""@scenario_score"": 3.107249607614053e-05}","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.107249607614053e-05]"
"rap_trap","1,35788147035882E-08","1,35788147035882E-08","{""rap"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 1.3578814703588241e-08, ""@scenario_score"": 1.3578814703588241e-08}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3578814703588241e-08]"
"reggae_country","0,02925210846976615","0,02925210846976615","{""country"": 0.95, ""reggae"": 0.95, ""high_repetition"": 0.632, ""@scenario_probability"": 0.02925210846976615, ""@scenario_score"": 0.02925210846976615}","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.02925210846976615]"
"reggae_metal","0,004515167175041415","0,004515167175041415","{""metal"": 0.95, ""reggae"": 0.95, ""high_repetition"": 0.627, ""@scenario_probability"": 0.004515167175041415, ""@scenario_score"": 0.004515167175041415}","[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.004515167175041415]"
"reggae_pop","0,0005126813866014713","0,0005126813866014713","{""pop"": 0.95, ""reggae"": 0.95, ""that's"": 0.663, ""@scenario_probability"": 0.0005126813866014713, ""@scenario_score"": 0.0005126813866014713}","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0005126813866014713]"
"reggae_rap","3,3927034207415E-05","3,3927034207415E-05","{""rap"": 0.95, ""reggae"": 0.95, ""all"": 0.73, ""@scenario_probability"": 3.392703420741497e-05, ""@scenario_score"": 3.392703420741497e-05}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3.392703420741497e-05]"
"reggae_rnb","9,11425864744146E-05","9,11425864744146E-05","{""reggae"": 0.95, ""rnb"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 9.114258647441462e-05, ""@scenario_score"": 9.114258647441462e-05}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9.114258647441462e-05]"
"reggae_rock","0,0688788865277579","0,0688788865277579","{""reggae"": 0.95, ""rock"": 0.95, ""hook_repetition"": 0.63, ""@scenario_probability"": 0.0688788865277579, ""@scenario_score"": 0.0688788865277579}","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0688788865277579]"
"reggae_trap","4,77960612011626E-05","4,77960612011626E-05","{""reggae"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 4.7796061201162595e-05, ""@scenario_score"": 4.7796061201162595e-05}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4.7796061201162595e-05]"
"rnb_country","3,51473201444084E-05","3,51473201444084E-05","{""country"": 0.95, ""rnb"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 3.5147320144408366e-05, ""@scenario_score"": 3.5147320144408366e-05}","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5147320144408366e-05]"
"rnb_metal","5,54267517086288E-06","5,54267517086288E-06","{""metal"": 0.95, ""rnb"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 5.542675170862885e-06, ""@scenario_score"": 5.542675170862885e-06}","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.542675170862885e-06]"
"rnb_pop","5,37734900592599E-07","5,37734900592599E-07","{""pop"": 0.95, ""rnb"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 5.377349005925989e-07, ""@scenario_score"": 5.377349005925989e-07}","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.377349005925989e-07]"
"rnb_rap","2,58935205587974E-08","2,58935205587974E-08","{""rap"": 0.95, ""rnb"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 2.589352055879744e-08, ""@scenario_score"": 2.589352055879744e-08}","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.589352055879744e-08]"
"rnb_reggae","9,11425864744146E-05","9,11425864744146E-05","{""reggae"": 0.95, ""rnb"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 9.114258647441462e-05, ""@scenario_score"": 9.114258647441462e-05}","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.114258647441462e-05]"
"rnb_rock","8,3474070951259E-05","8,3474070951259E-05","{""rnb"": 0.95, ""rock"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 8.347407095125897e-05, ""@scenario_score"": 8.347407095125897e-05}","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.347407095125897e-05]"
"rnb_trap","3,61093876145285E-08","3,61093876145285E-08","{""rnb"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 3.610938761452846e-08, ""@scenario_score"": 3.610938761452846e-08}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.610938761452846e-08]"
"rock_country","0,02679090721837962","0,02679090721837962","{""country"": 0.95, ""rock"": 0.95, ""high_repetition"": 0.632, ""@scenario_probability"": 0.02679090721837962, ""@scenario_score"": 0.02679090721837962}","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.02679090721837962]"
"rock_metal","0,0041887476417103485","0,0041887476417103485","{""metal"": 0.95, ""rock"": 0.95, ""catchy_chorus"": 0.63, ""@scenario_probability"": 0.0041887476417103485, ""@scenario_score"": 0.0041887476417103485}","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0.0041887476417103485]"
"rock_pop","0,00046954562182163393","0,00046954562182163393","{""pop"": 0.95, ""rock"": 0.95, ""love"": 0.663, ""@scenario_probability"": 0.00046954562182163393, ""@scenario_score"": 0.00046954562182163393}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.00046954562182163393]"
"rock_rap","3,10724960761405E-05","3,10724960761405E-05","{""rap"": 0.95, ""rock"": 0.95, ""all"": 0.73, ""@scenario_probability"": 3.107249607614053e-05, ""@scenario_score"": 3.107249607614053e-05}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3.107249607614053e-05]"
"rock_reggae","0,06887888652775791","0,06887888652775791","{""reggae"": 0.95, ""rock"": 0.95, ""hook_repetition"": 0.63, ""@scenario_probability"": 0.06887888652775791, ""@scenario_score"": 0.06887888652775791}","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0.06887888652775791]"
"rock_rnb","8,3474070951259E-05","8,3474070951259E-05","{""rnb"": 0.95, ""rock"": 0.95, ""baby"": 0.732, ""@scenario_probability"": 8.347407095125897e-05, ""@scenario_score"": 8.347407095125897e-05}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8.347407095125897e-05]"
"rock_trap","4,3774616874808E-05","4,3774616874808E-05","{""rock"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 4.377461687480805e-05, ""@scenario_score"": 4.377461687480805e-05}","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4.377461687480805e-05]"
"trap_country","1,8431597452532E-05","1,8431597452532E-05","{""country"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 1.8431597452531977e-05, ""@scenario_score"": 1.8431597452531977e-05}","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8431597452531977e-05]"
"trap_metal","2,90663291368294E-06","2,90663291368294E-06","{""metal"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 2.9066329136829352e-06, ""@scenario_score"": 2.9066329136829352e-06}","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9066329136829352e-06]"
"trap_pop","2,81993426047217E-07","2,81993426047217E-07","{""pop"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 2.8199342604721704e-07, ""@scenario_score"": 2.8199342604721704e-07}","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8199342604721704e-07]"
"trap_rap","1,35788147035882E-08","1,35788147035882E-08","{""rap"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 1.3578814703588234e-08, ""@scenario_score"": 1.3578814703588234e-08}","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3578814703588234e-08]"
"trap_reggae","4,77960612011626E-05","4,77960612011626E-05","{""reggae"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 4.779606120116256e-05, ""@scenario_score"": 4.779606120116256e-05}","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.779606120116256e-05]"
"trap_rnb","3,61093876145284E-08","3,61093876145284E-08","{""rnb"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 3.610938761452844e-08, ""@scenario_score"": 3.610938761452844e-08}","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.610938761452844e-08]"
"trap_rock","4,3774616874808E-05","4,3774616874808E-05","{""rock"": 0.95, ""trap"": 0.95, ""ayy"": 0.758, ""@scenario_probability"": 4.377461687480803e-05, ""@scenario_score"": 4.377461687480803e-05}","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.377461687480803e-05]"
